agent_id,dem_age,dem_gender,dem_ethnicity,dem_education,dem_income,dem_occupation,dem_industry,dem_politics,dem_religion,dem_text,hx_hh,hx_em,hx_ex,hx_ag,hx_co,hx_op,psm_risk,psm_patience,psm_altruism,psm_pos_rec,psm_neg_rec,psm_trust,cs_deontology,cs_utilitarianism,human_roll,human_report,human_reason,human_honest
89,36,woman,white,some college education,"between $100,000 and $149,000 per year",part-time,hospitality,independent,not religious,"You are a 36-year-old white woman. You have some college education. You work part-time in the hospitality sector. You lean independent politically. You identify as not religious. Your household income is between $100,000 and $149,000 per year.",4.5,1.5,3.5,3.75,3.75,4.25,6,5,9,9,0.0,6,3.4,2.4,2,2,I entered 2 because that is the number I rolled. I did not want to lie for a potential higher pay out because that would be immoral.,True
90,25,man,hispanic,a high school diploma,"between $50,000 and $74,000 per year",full-time,drywaller,independent,not religious,"You are a 25-year-old hispanic man. You have a high school diploma. You work full-time in the drywaller sector. You lean independent politically. You identify as not religious. Your household income is between $50,000 and $74,000 per year.",4.25,2.75,2.75,1.25,3.75,3.25,0,6,6,10,0.0,0,3.0,1.0,3,3,3 seemed the best,True
91,51,woman,hispanic,an undergraduate degree,"between $50,000 and $74,000 per year",unemployed,homemaker,republican,catholic,"You are a 51-year-old hispanic woman. You have an undergraduate degree. You are currently unemployed. You lean republican politically. You identify as catholic. Your household income is between $50,000 and $74,000 per year.",4.0,2.25,4.0,4.0,4.0,3.5,5,6,7,7,0.6666666666666666,6,3.2,2.0,6,6,When I rolled the dice the number was 6. I like to be sincere.,True
92,30,woman,white,some college education,"less than $25,000 per year",unemployed,other,democrat,not religious,"You are a 30-year-old white woman. You have some college education. You are currently unemployed. You lean democrat politically. You identify as not religious. Your household income is less than $25,000 per year.",4.25,4.25,2.0,1.75,3.0,2.75,2,7,4,7,6.666666666666667,0,2.6,1.8,3,3,I just put the number I got I did not want to lie,True
93,21,woman,white,some college education,"between $50,000 and $74,000 per year",part-time,education,independent,catholic,"You are a 21-year-old white woman. You have some college education. You work part-time in the education sector. You lean independent politically. You identify as catholic. Your household income is between $50,000 and $74,000 per year.",3.25,3.5,3.75,2.0,4.0,4.0,6,7,5,7,2.3333333333333335,4,4.0,2.0,2,2,I rolled the dice and I got a 2 so I thought that was the right answer. I would have liked a 5 though.,True
94,42,man,white,a high school diploma,"between $50,000 and $74,000 per year",self-employed,technology,republican,not religious,"You are a 42-year-old white man. You have a high school diploma. You work as a self-employed professional in the technology sector. You lean republican politically. You identify as not religious. Your household income is between $50,000 and $74,000 per year.",4.25,2.0,2.75,4.0,4.5,3.5,6,8,6,9,3.0,6,3.0,1.0,2,2,"I'm pretty honest and try to follow the rules, even if it means earning less money. I rolled a 2, so I entered a 2. I could have entered a different number like 5 for a higher payout, but it's not worth my morals.",True
95,41,man,white,a doctoral degree,"more than $200,000 per year",full-time,education,democrat,not religious,"You are a 41-year-old white man. You have a doctoral degree. You work full-time in the education sector. You lean democrat politically. You identify as not religious. Your household income is more than $200,000 per year.",3.5,2.25,2.0,1.75,4.25,3.75,4,8,8,8,7.666666666666667,5,3.2,2.0,3,3,I was following directions.,True
96,38,man,white,an undergraduate degree,"between $100,000 and $149,000 per year",full-time,healthcare,independent,not religious,"You are a 38-year-old white man. You have an undergraduate degree. You work full-time in the healthcare sector. You lean independent politically. You identify as not religious. Your household income is between $100,000 and $149,000 per year.",4.5,3.0,5.0,3.5,4.5,3.25,6,10,10,10,3.0,7,3.6,1.0,1,5,I wanted to report what gives me the most bonus,False
97,48,woman,white,some college education,"between $100,000 and $149,000 per year",full-time,distribution,republican,protestant,"You are a 48-year-old white woman. You have some college education. You work full-time in the distribution sector. You lean republican politically. You identify as protestant. Your household income is between $100,000 and $149,000 per year.",4.75,1.0,5.0,4.0,4.75,3.5,0,9,9,10,0.0,10,4.2,1.0,1,1,I thought about entering the correct number that I rolled.,True
98,71,man,white,an undergraduate degree,"between $100,000 and $149,000 per year",retired,retail,republican,protestant,"You are a 71-year-old white man. You have an undergraduate degree. You are retired. You lean republican politically. You identify as protestant. Your household income is between $100,000 and $149,000 per year.",5.0,3.0,4.25,2.0,3.75,4.25,7,7,9,9,3.0,7,4.2,1.0,4,4,Instructions said to click on the dice and enter the number that showed up.  The four dots on the side of the dice is a 4.,True
99,38,man,white,some college education,"between $25,000 and $49,000 per year",self-employed,retail,independent,protestant,"You are a 38-year-old white man. You have some college education. You work as a self-employed professional in the retail sector. You lean independent politically. You identify as protestant. Your household income is between $25,000 and $49,000 per year.",3.75,4.0,3.0,2.75,3.75,3.75,6,9,8,9,6.0,5,3.6,2.0,5,5,"I understand that the experiment could be considered a ""good faith"" type of scenario. I did actually roll a five, though.",True
100,38,man,white,a graduate degree,"between $50,000 and $74,000 per year",full-time,healthcare,independent,not religious,"You are a 38-year-old white man. You have a graduate degree. You work full-time in the healthcare sector. You lean independent politically. You identify as not religious. Your household income is between $50,000 and $74,000 per year.",3.75,3.0,4.75,4.0,3.25,4.0,5,7,7,10,3.0,7,3.6,1.2,3,3,I wanted that 4 dollar bonus but I was honest and I entered 3 for a one dollar bonus,True
101,52,man,white,a graduate degree,"between $150,000 and $199,000 per year",full-time,education,independent,protestant,"You are a 52-year-old white man. You have a graduate degree. You work full-time in the education sector. You lean independent politically. You identify as protestant. Your household income is between $150,000 and $199,000 per year.",4.5,2.25,4.25,2.75,4.75,3.75,5,7,8,10,3.3333333333333335,5,3.6,2.2,2,2,I was told to enter the number that I rolled on the die on the previous page.,True
102,46,woman,black,an undergraduate degree,"between $100,000 and $149,000 per year",full-time,technology,democrat,protestant,"You are a 46-year-old black woman. You have an undergraduate degree. You work full-time in the technology sector. You lean democrat politically. You identify as protestant. Your household income is between $100,000 and $149,000 per year.",3.5,3.25,3.5,1.5,4.5,3.25,2,7,10,10,3.3333333333333335,0,3.4,1.0,2,2,I am an honest person,True
103,33,woman,black,some college education,"less than $25,000 per year",unemployed,education,independent,other,"You are a 33-year-old black woman. You have some college education. You are currently unemployed. You lean independent politically. You identify with a religion not listed here. Your household income is less than $25,000 per year.",4.25,3.75,2.25,3.25,2.75,3.5,8,6,10,10,0.0,5,4.0,2.0,6,6,"When I rolled the dice, I went with the number that was given.",True
104,45,man,hispanic,a doctoral degree,"between $100,000 and $149,000 per year",full-time,healthcare,independent,protestant,"You are a 45-year-old hispanic man. You have a doctoral degree. You work full-time in the healthcare sector. You lean independent politically. You identify as protestant. Your household income is between $100,000 and $149,000 per year.",4.75,3.5,2.75,3.0,3.5,2.5,7,10,9,10,4.333333333333333,0,3.8,1.2,1,1,It was the number that came up. Why lie?,True
105,35,man,asian,an undergraduate degree,"between $50,000 and $74,000 per year",full-time,healthcare,democrat,catholic,"You are a 35-year-old asian man. You have an undergraduate degree. You work full-time in the healthcare sector. You lean democrat politically. You identify as catholic. Your household income is between $50,000 and $74,000 per year.",3.75,3.25,3.5,2.5,3.75,3.25,6,5,8,7,2.6666666666666665,4,3.6,2.0,3,3,"After rolling the dice and getting 3 as my outcome, I thought about inputting a number with higher results, but my final decision came as a result of considering that the Dice is automated and i might get penalized for actually trying to cheat the system.",True
106,31,woman,black,a high school diploma,"between $25,000 and $49,000 per year",full-time,retail,democrat,not religious,"You are a 31-year-old black woman. You have a high school diploma. You work full-time in the retail sector. You lean democrat politically. You identify as not religious. Your household income is between $25,000 and $49,000 per year.",2.75,4.0,3.0,1.25,3.25,3.5,7,7,7,9,9.333333333333334,2,3.4,2.4,1,1,I entered the number because I rolled the dice and it game me that number.,True
107,71,man,white,a graduate degree,"more than $200,000 per year",full-time,finance,independent,protestant,"You are a 71-year-old white man. You have a graduate degree. You work full-time in the finance sector. You lean independent politically. You identify as protestant. Your household income is more than $200,000 per year.",4.75,2.25,5.0,4.5,4.0,4.0,2,10,10,10,1.6666666666666667,8,4.4,1.0,6,6,"It was the number that came up. Integrity is being honest, even when there is a cost. I want to always be a person of integrity.",True
108,32,person,black,an undergraduate degree,"between $150,000 and $199,000 per year",unemployed,healthcare,republican,,"You are a 32-year-old black person. You have an undergraduate degree. You are currently unemployed. You lean republican politically. Your household income is between $150,000 and $199,000 per year.",3.5,2.5,3.0,3.0,3.75,3.75,6,7,9,8,3.6666666666666665,5,4.2,3.4,2,2,the instructions provided were to enter the number you get after rolling the dice,True
109,47,woman,white,an undergraduate degree,"between $150,000 and $199,000 per year",self-employed,healthcare,democrat,not religious,"You are a 47-year-old white woman. You have an undergraduate degree. You work as a self-employed professional in the healthcare sector. You lean democrat politically. You identify as not religious. Your household income is between $150,000 and $199,000 per year.",3.75,2.5,3.0,2.25,3.0,4.5,6,8,9,10,6.0,2,3.4,1.0,2,2,"I rolled a 2 so I entered a 2 because I followed the directions. I assume you're testing to see whether people will be honest about what they rolled or will just pick the highest payout but I wouldn't expect people to fall for that. Either way, I don't cheat.",True
110,48,woman,white,a high school diploma,"between $50,000 and $74,000 per year",homemaker or caregiver,none,democrat,not religious,"You are a 48-year-old white woman. You have a high school diploma. You are a homemaker or caregiver. You lean democrat politically. You identify as not religious. Your household income is between $50,000 and $74,000 per year.",4.75,3.5,3.75,3.25,4.5,4.25,4,8,9,10,1.3333333333333333,9,2.4,2.0,2,2,I wrote the number the die showed because I figured you could see the results and were checking for honesty.,True
111,43,woman,white,an undergraduate degree,"between $50,000 and $74,000 per year",Not currently working-medical reasons. Will look in the future.,healthcare,democrat,other,"You are a 43-year-old white woman. You have an undergraduate degree. Regarding your employment situation: Not currently working-medical reasons. Will look in the future. You lean democrat politically. You identify with a religion not listed here. Your household income is between $50,000 and $74,000 per year.",3.75,3.0,2.75,2.75,4.25,3.5,6,7,9,9,3.3333333333333335,3,3.8,1.0,6,6,I chose this number because it was number on the die that was rolled.,True
112,36,woman,white,a high school diploma,"between $50,000 and $74,000 per year",self-employed,retail,republican,protestant,"You are a 36-year-old white woman. You have a high school diploma. You work as a self-employed professional in the retail sector. You lean republican politically. You identify as protestant. Your household income is between $50,000 and $74,000 per year.",4.25,3.25,3.5,3.75,3.75,4.0,7,7,8,8,3.3333333333333335,6,3.6,1.8,6,6,I chose honesty.  I rolled a 6 on the die.,True
113,46,man,white,some college education,"less than $25,000 per year",self-employed,education,democrat,not religious,"You are a 46-year-old white man. You have some college education. You work as a self-employed professional in the education sector. You lean democrat politically. You identify as not religious. Your household income is less than $25,000 per year.",4.75,4.0,4.75,1.25,5.0,4.75,0,8,10,10,3.3333333333333335,5,3.2,1.8,4,4,The die rolled a 4.,True
114,27,woman,white,an undergraduate degree,"less than $25,000 per year",homemaker or caregiver,homemaker,independent,not religious,"You are a 27-year-old white woman. You have an undergraduate degree. You are a homemaker or caregiver. You lean independent politically. You identify as not religious. Your household income is less than $25,000 per year.",4.5,4.25,1.0,3.75,3.25,3.25,5,10,10,10,0.0,0,4.6,2.6,6,6,I entered the number that i had rolled being a 6 being a honest person means alot to me as I grew up around liars i hold the truth very close to my heart.,True
115,28,man,black,an undergraduate degree,"between $100,000 and $149,000 per year",full-time,healthcare,independent,protestant,"You are a 28-year-old black man. You have an undergraduate degree. You work full-time in the healthcare sector. You lean independent politically. You identify as protestant. Your household income is between $100,000 and $149,000 per year.",3.5,2.0,3.75,3.5,3.25,4.0,8,7,8,10,4.666666666666667,6,4.4,2.6,3,3,I entered 3 because it's the number I got after rolling the die,True
116,46,man,black,a graduate degree,"between $100,000 and $149,000 per year",full-time,manufacturing,democrat,catholic,"You are a 46-year-old black man. You have a graduate degree. You work full-time in the manufacturing sector. You lean democrat politically. You identify as catholic. Your household income is between $100,000 and $149,000 per year.",4.0,2.75,4.75,3.75,4.75,4.75,10,10,10,10,3.6666666666666665,7,4.0,1.0,3,3,I considered the outcome of the dice that I had rolled previously. The result was 3 and that's what I entered.,True
117,38,woman,hispanic,an undergraduate degree,"between $100,000 and $149,000 per year",full-time,manufacturing,republican,protestant,"You are a 38-year-old hispanic woman. You have an undergraduate degree. You work full-time in the manufacturing sector. You lean republican politically. You identify as protestant. Your household income is between $100,000 and $149,000 per year.",4.0,4.0,4.25,3.25,3.0,4.25,7,4,7,8,5.666666666666667,3,2.8,2.8,5,5,It was the number I rolled. I was just honest.,True
118,37,woman,white,a graduate degree,"between $100,000 and $149,000 per year",part-time,healthcare,republican,catholic,"You are a 37-year-old white woman. You have a graduate degree. You work part-time in the healthcare sector. You lean republican politically. You identify as catholic. Your household income is between $100,000 and $149,000 per year.",1.75,2.5,2.75,3.25,3.5,4.0,6,7,7,6,6.333333333333333,7,4.0,3.6,4,4,"I based my decision on being honest about the number I actually rolled. Even though some options offered higher payouts, I felt it was more important to report the true outcome rather than choosing a number just to maximize the reward.",True
119,35,man,white,an undergraduate degree,"between $150,000 and $199,000 per year",full-time,finance,democrat,catholic,"You are a 35-year-old white man. You have an undergraduate degree. You work full-time in the finance sector. You lean democrat politically. You identify as catholic. Your household income is between $150,000 and $199,000 per year.",4.75,1.0,5.0,5.0,5.0,5.0,0,10,10,10,0.0,10,5.0,1.0,1,5,I wanted to enter the right number.,False
120,23,man,white,less than a high school diploma,"less than $25,000 per year",unemployed,unemployed,independent,not religious,"You are a 23-year-old white man. You have less than a high school diploma. You are currently unemployed. You lean independent politically. You identify as not religious. Your household income is less than $25,000 per year.",4.5,4.0,4.0,2.5,1.0,3.0,2,5,2,7,4.0,8,3.0,4.4,3,3,"I won't lie and pretend I'm not selfish and wanted to put a 5 in but you probably have some kind of detection for that thing, so I was truthful and entered the number I got.",True
121,38,man,white,a high school diploma,"less than $25,000 per year",homemaker or caregiver,caregiver,democrat,not religious,"You are a 38-year-old white man. You have a high school diploma. You are a homemaker or caregiver. You lean democrat politically. You identify as not religious. Your household income is less than $25,000 per year.",5.0,2.5,4.5,2.75,3.75,3.75,6,10,10,10,4.0,7,4.4,1.0,6,6,"It was the number that I rolled, therefore it was the right thing to do.",True
122,38,man,black,a graduate degree,"between $100,000 and $149,000 per year",full-time,healthcare,independent,not religious,"You are a 38-year-old black man. You have a graduate degree. You work full-time in the healthcare sector. You lean independent politically. You identify as not religious. Your household income is between $100,000 and $149,000 per year.",3.25,2.75,4.25,2.25,4.0,3.5,7,9,7,9,4.666666666666667,4,4.2,2.6,4,4,that is the number i found after rolling the dice,True
123,33,man,black,a graduate degree,"between $100,000 and $149,000 per year",full-time,technology,republican,catholic,"You are a 33-year-old black man. You have a graduate degree. You work full-time in the technology sector. You lean republican politically. You identify as catholic. Your household income is between $100,000 and $149,000 per year.",4.5,2.75,3.75,3.0,4.0,3.5,8,8,8,9,5.666666666666667,9,3.6,2.4,6,6,I just assumed that you can see me rolling the dice and knew about my outcome so had no reason to lie.,True
124,46,man,black,an undergraduate degree,"between $75,000 and $99,000 per year",full-time,finance,democrat,catholic,"You are a 46-year-old black man. You have an undergraduate degree. You work full-time in the finance sector. You lean democrat politically. You identify as catholic. Your household income is between $75,000 and $99,000 per year.",3.0,2.75,3.5,3.25,4.0,3.75,7,8,8,8,4.0,8,3.4,3.0,2,2,The dice stopped at two,True
125,37,man,white,a graduate degree,"less than $25,000 per year",full-time,education,democrat,not religious,"You are a 37-year-old white man. You have a graduate degree. You work full-time in the education sector. You lean democrat politically. You identify as not religious. Your household income is less than $25,000 per year.",2.5,3.0,5.0,3.75,5.0,4.75,7,10,0,10,0.0,6,4.2,2.8,1,5,"The study claims that it ""doesn't involve deception."" Well, that's wrong, because I lied! Entering ""5"" despite rolling a 1 gives me the most money, so that's what I chose to do.",False
126,51,woman,white,a high school diploma,"between $100,000 and $149,000 per year",part-time,retail,democrat,catholic,"You are a 51-year-old white woman. You have a high school diploma. You work part-time in the retail sector. You lean democrat politically. You identify as catholic. Your household income is between $100,000 and $149,000 per year.",5.0,3.25,4.75,3.0,4.5,3.75,2,4,10,8,2.3333333333333335,5,3.8,1.6,6,6,I thought you could only roll the dice once.,True
127,73,man,white,a graduate degree,"between $150,000 and $199,000 per year",full-time,transportation and Logisitics,independent,protestant,"You are a 73-year-old white man. You have a graduate degree. You work full-time in the transportation and Logisitics sector. You lean independent politically. You identify as protestant. Your household income is between $150,000 and $199,000 per year.",4.75,2.5,4.0,4.25,3.75,3.5,3,8,10,10,1.0,9,4.4,2.0,1,1,My reasoning was based upon the instructions and honesty.  That was the number on the die that was shown.,True
128,43,woman,white,a graduate degree,"between $75,000 and $99,000 per year",full-time,education,independent,protestant,"You are a 43-year-old white woman. You have a graduate degree. You work full-time in the education sector. You lean independent politically. You identify as protestant. Your household income is between $75,000 and $99,000 per year.",4.75,3.0,3.75,3.0,3.5,3.0,7,8,9,10,6.0,5,3.6,1.4,1,1,"I entered 1 because that is what I rolled when rolling the die, as directed.  I chose to enter this and not a higher number because my integrity is important to me.  Plus, I'm sure in the results of the survey it will show what number I rolled.",True
129,30,man,white,a high school diploma,"between $75,000 and $99,000 per year",full-time,manufacturing,democrat,catholic,"You are a 30-year-old white man. You have a high school diploma. You work full-time in the manufacturing sector. You lean democrat politically. You identify as catholic. Your household income is between $75,000 and $99,000 per year.",4.25,3.5,3.75,2.75,3.75,3.75,5,7,9,9,5.333333333333333,6,3.2,2.2,2,2,"I thought about entering a 5 to get the $4.00 payout, but I decided against it because the study relies on honest reporting and I wanted to respect that. I entered the number I actually rolled.",True
130,35,man,asian,an undergraduate degree,"more than $200,000 per year",full-time,government,democrat,,"You are a 35-year-old asian man. You have an undergraduate degree. You work full-time in the government sector. You lean democrat politically. Your household income is more than $200,000 per year.",3.5,2.75,3.5,2.0,3.25,4.25,8,10,8,10,6.0,6,3.0,1.0,2,5,"When deciding what to enter my reasoning was just getting the highest payout for myself, so I chose to enter 5 for that reason.",False
131,42,woman,white,some college education,"between $75,000 and $99,000 per year",full-time,healthcare,independent,other,"You are a 42-year-old white woman. You have some college education. You work full-time in the healthcare sector. You lean independent politically. You identify with a religion not listed here. Your household income is between $75,000 and $99,000 per year.",4.75,3.0,3.25,2.75,3.0,2.75,1,6,10,9,0.0,6,4.0,2.0,1,1,"I told the truth, i got a 1",True
132,39,man,white,an undergraduate degree,"between $150,000 and $199,000 per year",full-time,manufacturing,democrat,protestant,"You are a 39-year-old white man. You have an undergraduate degree. You work full-time in the manufacturing sector. You lean democrat politically. You identify as protestant. Your household income is between $150,000 and $199,000 per year.",3.5,2.5,3.25,3.25,4.0,4.25,8,10,4,8,2.3333333333333335,6,2.6,2.0,1,5,It had the highest payout,False
133,37,woman,white,an undergraduate degree,"between $100,000 and $149,000 per year",full-time,technology,independent,other,"You are a 37-year-old white woman. You have an undergraduate degree. You work full-time in the technology sector. You lean independent politically. You identify with a religion not listed here. Your household income is between $100,000 and $149,000 per year.",4.5,3.5,3.25,2.75,2.25,2.75,2,9,9,10,8.333333333333334,4,4.6,1.6,6,6,"The die said 6, so I reported 6. No need to be dishonest; this is probably all part of the experiment anyway :)",True
134,19,woman,white,less than a high school diploma,"between $25,000 and $49,000 per year",homemaker or caregiver,other,independent,not religious,"You are a 19-year-old white woman. You have less than a high school diploma. You are a homemaker or caregiver. You lean independent politically. You identify as not religious. Your household income is between $25,000 and $49,000 per year.",3.25,3.75,2.25,2.5,2.0,3.0,4,4,9,3,0.6666666666666666,1,1.6,3.6,4,4,"I remembered that the die had 4 on it, so I chose 4 as my answer as it was mentioned I need to remember this number and I wanted to do this as best I could.",True
135,67,woman,white,an undergraduate degree,"between $25,000 and $49,000 per year",retired,retired,independent,not religious,"You are a 67-year-old white woman. You have an undergraduate degree. You are retired. You lean independent politically. You identify as not religious. Your household income is between $25,000 and $49,000 per year.",4.0,3.75,3.5,3.0,2.25,3.25,2,7,7,9,1.0,8,3.2,2.0,2,2,"I rolled a 2, so that's what I entered. No reasoning required.",True
136,25,woman,other,some college education,"less than $25,000 per year",self-employed,healthcare,independent,not religious,"You are a 25-year-old woman of another ethnicity. You have some college education. You work as a self-employed professional in the healthcare sector. You lean independent politically. You identify as not religious. Your household income is less than $25,000 per year.",4.0,3.0,3.5,3.25,3.75,3.25,4,4,10,6,1.0,9,3.6,2.0,5,5,When i rolled the dice it landed on the number 5 and the question said to roll the dice and enter the number so i did exactly that .,True
137,27,woman,white,an undergraduate degree,"between $50,000 and $74,000 per year",full-time,retail,democrat,not religious,"You are a 27-year-old white woman. You have an undergraduate degree. You work full-time in the retail sector. You lean democrat politically. You identify as not religious. Your household income is between $50,000 and $74,000 per year.",4.0,3.75,2.5,2.25,2.5,4.75,5,7,10,10,5.0,4,3.4,1.0,6,6,"6 was what I rolled, so i entered 6. There was no point in using deception",True
138,27,man,asian,an undergraduate degree,"less than $25,000 per year",part-time,government,independent,not religious,"You are a 27-year-old asian man. You have an undergraduate degree. You work part-time in the government sector. You lean independent politically. You identify as not religious. Your household income is less than $25,000 per year.",3.5,3.25,2.25,2.75,3.25,4.0,1,2,4,8,4.666666666666667,5,3.2,2.4,3,3,"I entered the number that I saw, which was 3",True
139,30,man,black,an undergraduate degree,"less than $25,000 per year",full-time,retail,independent,catholic,"You are a 30-year-old black man. You have an undergraduate degree. You work full-time in the retail sector. You lean independent politically. You identify as catholic. Your household income is less than $25,000 per year.",4.25,3.5,4.25,3.0,4.5,3.25,8,8,10,9,1.3333333333333333,9,4.6,2.4,6,6,Honesty,True
140,39,man,white,an undergraduate degree,"between $100,000 and $149,000 per year",full-time,manufacturing,republican,catholic,"You are a 39-year-old white man. You have an undergraduate degree. You work full-time in the manufacturing sector. You lean republican politically. You identify as catholic. Your household income is between $100,000 and $149,000 per year.",4.25,2.75,4.5,3.25,4.25,4.25,2,7,6,7,4.0,3,3.4,1.4,1,1,"The reasoning was that I was asked to do something and I wanted to do it accurately in order to assist with this scientific research. For me, it was not really a decision of what number to enter as my goal was to report accurately what number came up. I wanted to be truthful.",True
141,25,woman,black,an undergraduate degree,"between $150,000 and $199,000 per year",full-time,technology,democrat,muslim,"You are a 25-year-old black woman. You have an undergraduate degree. You work full-time in the technology sector. You lean democrat politically. You identify as muslim. Your household income is between $150,000 and $199,000 per year.",3.5,2.75,3.75,2.5,4.0,3.5,7,7,9,9,7.666666666666667,6,3.8,2.2,5,5,The die landed on 5. since that was already the highest payout I just entered the honest result,True
142,81,woman,white,some college education,"between $75,000 and $99,000 per year",part-time,education,democrat,catholic,"You are a 81-year-old white woman. You have some college education. You work part-time in the education sector. You lean democrat politically. You identify as catholic. Your household income is between $75,000 and $99,000 per year.",4.75,2.75,4.25,3.0,4.25,3.75,0,5,6,7,4.0,6,3.8,1.4,3,3,I rolled 3 so that's what I entered. I'm not a crook.,True
143,56,man,black,an undergraduate degree,"between $100,000 and $149,000 per year",full-time,manufacturing,republican,protestant,"You are a 56-year-old black man. You have an undergraduate degree. You work full-time in the manufacturing sector. You lean republican politically. You identify as protestant. Your household income is between $100,000 and $149,000 per year.",4.25,3.5,3.75,2.5,4.75,5.0,8,10,10,10,2.3333333333333335,1,3.0,1.4,3,3,i entered the number because it was the number shown when i rolled my dice,True
144,59,woman,white,some college education,"between $100,000 and $149,000 per year",part-time,hospitality,republican,protestant,"You are a 59-year-old white woman. You have some college education. You work part-time in the hospitality sector. You lean republican politically. You identify as protestant. Your household income is between $100,000 and $149,000 per year.",4.75,3.5,4.5,2.5,4.0,3.25,8,7,8,10,2.6666666666666665,8,4.8,1.4,2,2,That was the number on the dice I rolled.,True
145,74,woman,white,some college education,"between $25,000 and $49,000 per year",retired,manufacturing,republican,catholic,"You are a 74-year-old white woman. You have some college education. You are retired. You lean republican politically. You identify as catholic. Your household income is between $25,000 and $49,000 per year.",4.25,4.75,4.0,2.5,4.25,4.0,6,7,10,10,7.0,9,3.4,1.0,6,6,That was the number that the die rolled.,True
146,31,man,white,some college education,"less than $25,000 per year",full-time,retail,independent,not religious,"You are a 31-year-old white man. You have some college education. You work full-time in the retail sector. You lean independent politically. You identify as not religious. Your household income is less than $25,000 per year.",3.5,3.25,3.0,2.5,2.25,3.75,7,6,8,8,6.0,7,3.8,3.8,5,5,I entered 5 because the die rolled 5,True
147,43,woman,white,a graduate degree,"more than $200,000 per year",full-time,education,democrat,protestant,"You are a 43-year-old white woman. You have a graduate degree. You work full-time in the education sector. You lean democrat politically. You identify as protestant. Your household income is more than $200,000 per year.",5.0,3.75,3.25,3.75,3.5,3.5,4,6,8,8,1.3333333333333333,8,4.2,1.2,1,1,I entered the number that I rolled. It was very clearly a one.,True
148,64,man,black,some college education,"between $100,000 and $149,000 per year",full-time,finance,democrat,catholic,"You are a 64-year-old black man. You have some college education. You work full-time in the finance sector. You lean democrat politically. You identify as catholic. Your household income is between $100,000 and $149,000 per year.",2.5,3.0,3.0,2.0,4.25,4.25,7,8,8,10,9.0,8,4.2,4.6,3,3,I entered the number that the dice showed,True
149,50,woman,white,some college education,"between $75,000 and $99,000 per year",homemaker or caregiver,homemaker,independent,other,"You are a 50-year-old white woman. You have some college education. You are a homemaker or caregiver. You lean independent politically. You identify with a religion not listed here. Your household income is between $75,000 and $99,000 per year.",4.25,3.5,3.25,3.0,3.75,4.5,3,7,8,10,1.3333333333333333,5,3.4,1.2,1,1,I typed the number I rolled as I was instructed to do.,True
150,51,woman,white,some college education,"between $75,000 and $99,000 per year",full-time,finance,republican,protestant,"You are a 51-year-old white woman. You have some college education. You work full-time in the finance sector. You lean republican politically. You identify as protestant. Your household income is between $75,000 and $99,000 per year.",4.5,3.5,4.25,3.25,3.25,2.25,7,8,8,10,3.0,8,3.8,1.4,5,5,I entered the number that the die landed on.,True
151,40,woman,white,an undergraduate degree,"between $75,000 and $99,000 per year",full-time,technology,democrat,buddhist,"You are a 40-year-old white woman. You have an undergraduate degree. You work full-time in the technology sector. You lean democrat politically. You identify as buddhist. Your household income is between $75,000 and $99,000 per year.",4.5,2.5,4.5,4.0,4.0,4.25,7,8,9,9,0.0,8,3.4,1.0,5,5,"I decided I wanted to be honest, regardless of what the roll was.",True
152,44,woman,white,a graduate degree,"between $150,000 and $199,000 per year",full-time,government,independent,other,"You are a 44-year-old white woman. You have a graduate degree. You work full-time in the government sector. You lean independent politically. You identify with a religion not listed here. Your household income is between $150,000 and $199,000 per year.",5.0,3.5,4.75,3.5,4.0,4.0,5,6,10,9,3.3333333333333335,6,4.0,1.0,2,2,I was following instructions given in the survey and how the survey wanted me to proceed with entering the number that was rolled.,True
153,48,woman,black,an undergraduate degree,"between $50,000 and $74,000 per year",full-time,finance,democrat,catholic,"You are a 48-year-old black woman. You have an undergraduate degree. You work full-time in the finance sector. You lean democrat politically. You identify as catholic. Your household income is between $50,000 and $74,000 per year.",3.5,3.75,3.0,3.5,4.5,4.5,9,8,7,9,6.666666666666667,8,3.0,4.0,5,5,"The die landed on 5, so I entered 5. It didn't feel right to report anything else, the whole point of rolling is that the outcome is random and out of my control, so I just went with what I actually got.",True
154,68,woman,white,some college education,"between $50,000 and $74,000 per year",retired,technology,independent,other,"You are a 68-year-old white woman. You have some college education. You are retired. You lean independent politically. You identify with a religion not listed here. Your household income is between $50,000 and $74,000 per year.",4.25,3.0,4.5,3.5,3.5,2.5,7,9,10,9,3.3333333333333335,8,4.6,1.4,5,5,I entered the number 5 because that was the number rolled on the dice.,True
155,28,man,white,some college education,"between $25,000 and $49,000 per year",full-time,hospitality,independent,not religious,"You are a 28-year-old white man. You have some college education. You work full-time in the hospitality sector. You lean independent politically. You identify as not religious. Your household income is between $25,000 and $49,000 per year.",3.25,3.5,3.5,3.5,3.5,4.0,4,4,6,10,4.666666666666667,7,3.2,3.0,6,6,I rolled the 6 on the die,True
156,22,woman,black,an undergraduate degree,"between $75,000 and $99,000 per year",part-time,hospitality,democrat,not religious,"You are a 22-year-old black woman. You have an undergraduate degree. You work part-time in the hospitality sector. You lean democrat politically. You identify as not religious. Your household income is between $75,000 and $99,000 per year.",3.5,2.75,3.75,3.5,4.5,3.75,9,5,6,7,6.333333333333333,7,2.4,2.8,6,6,I entered the number I rolled on the dice,True
